"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2001";"2002";"2003";"2004";"2005";"2006";"2008";"2009";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1100015";"Alta Floresta D'Oeste (RO)";"26919";"27237";"27563";"29001";"28629";"29005";"24577";"24354";"24228";"24069";"25728";"25652";"25578";"25506";"25437";"23167";"22945"
"1100023";"Ariquemes (RO)";"76371";"78039";"79680";"86901";"85031";"86924";"84581";"85541";"91570";"92747";"101269";"102860";"104401";"105896";"107345";"106168";"107863"
"1100031";"Cabixi (RO)";"7501";"7490";"7478";"7421";"7436";"7421";"6777";"6695";"6221";"6132";"6495";"6424";"6355";"6289";"6224";"5438";"5312"
"1100049";"Cacoal (RO)";"73996";"74381";"74758";"76417";"75988";"76422";"78263";"78675";"78959";"79330";"85863";"86556";"87226";"87877";"88507";"84813";"85359"
"1100056";"Cerejeiras (RO)";"18012";"17925";"17794";"17217";"17366";"17215";"16784";"16622";"16939";"16852";"18041";"18013";"17986";"17959";"17934";"16444";"16323"
"1100064";"Colorado do Oeste (RO)";"21421";"20881";"20412";"18349";"18883";"18342";"18216";"17822";"18338";"18093";"19190";"19001";"18817";"18639";"18467";"16227";"15882"
"1100072";"Corumbiara (RO)";"10290";"10160";"10022";"9411";"9569";"9409";"9761";"9680";"8655";"8530";"9036";"8938";"8842";"8749";"8659";"7567";"7391"
"1100080";"Costa Marques (RO)";"10679";"9919";"10255";"11731";"11349";"11735";"13973";"14452";"14023";"14355";"15853";"16258";"16651";"17031";"17400";"17855";"18331"
"1100098";"Espigão D'Oeste (RO)";"25985";"26221";"26468";"27556";"27274";"27559";"28617";"28892";"28963";"29189";"31699";"32047";"32385";"32712";"33030";"32047";"32374"
"1100106";"Guajará-Mirim (RO)";"38679";"39194";"39728";"42075";"41467";"42082";"40541";"40762";"41934";"42202";"45761";"46203";"46632";"47048";"47451";"45783";"46174"
"1100114";"Jaru (RO)";"53150";"54352";"54701";"56238";"55840";"56242";"53955";"53943";"51883";"51765";"55597";"55669";"55738";"55806";"55871";"51933";"51775"
"1100122";"Ji-Paraná (RO)";"107869";"108694";"109573";"113441";"112439";"113453";"110707";"111010";"117363";"118092";"128026";"129242";"130419";"131560";"132667";"127907";"128969"
"1100130";"Machadinho D'Oeste (RO)";"23873";"24724";"25645";"29698";"28649";"29711";"32214";"33159";"31780";"32403";"35633";"36412";"37167";"37899";"38609";"39097";"39991"
"1100148";"Nova Brasilândia D'Oeste (RO)";"17216";"17334";"17458";"18003";"17862";"18005";"17653";"17698";"19883";"19891";"21427";"21511";"21592";"21670";"21747";"20459";"20474"
"1100155";"Ouro Preto do Oeste (RO)";"40836";"40841";"40822";"40735";"40757";"40735";"37142";"36725";"37702";"37482";"40099";"40010";"39924";"39840";"39759";"36340";"36035"
"1100189";"Pimenta Bueno (RO)";"31685";"31656";"31612";"31416";"31466";"31415";"33803";"33984";"33981";"34135";"36939";"37230";"37512";"37786";"38051";"36434";"36660"
"1100205";"Porto Velho (RO)";"342264";"347844";"353961";"380884";"373917";"380974";"379185";"382829";"435732";"442701";"484992";"494013";"502748";"511219";"519436";"519531";"529544"
"1100254";"Presidente Médici (RO)";"26164";"26065";"25926";"25314";"25473";"25313";"22896";"22519";"22009";"21709";"23017";"22783";"22557";"22337";"22124";"19409";"18986"
"1100262";"Rio Crespo (RO)";"3054";"3127";"3215";"3602";"3501";"3603";"3260";"3290";"3346";"3374";"3666";"3709";"3750";"3790";"3829";"3723";"3764"
"1100288";"Rolim de Moura (RO)";"47693";"48101";"48434";"49902";"49522";"49907";"50249";"50499";"50899";"51142";"55357";"55807";"56242";"56664";"57074";"54702";"55058"
"1100296";"Santa Luzia D'Oeste (RO)";"11512";"11450";"11380";"11068";"11149";"11067";"9566";"9348";"8678";"8476";"8887";"8706";"8532";"8362";"8198";"6781";"6495"
"1100304";"Vilhena (RO)";"55513";"57074";"58687";"65785";"63947";"65807";"68405";"69866";"77937";"79616";"87727";"89797";"91801";"93745";"95630";"97448";"99854"
"1100320";"São Miguel do Guaporé (RO)";"25065";"25959";"26927";"31185";"30082";"31198";"23283";"23201";"21879";"21927";"23668";"23803";"23933";"24059";"24181";"22931";"23005"
"1100338";"Nova Mamoré (RO)";"15692";"16362";"17098";"20333";"19496";"20343";"21650";"22337";"23143";"23719";"26227";"26925";"27600";"28255";"28891";"29757";"30583"
"1100346";"Alvorada D'Oeste (RO)";"19770";"19750";"19711";"19543";"19586";"19542";"17009";"17127";"16625";"16404";"17399";"17228";"17063";"16902";"16747";"14722";"14411"
"1100379";"Alto Alegre dos Parecis (RO)";"13153";"13490";"13852";"15449";"15035";"15454";"11962";"11875";"12825";"12833";"13827";"13884";"13940";"13993";"14045";"13227";"13241"
"1100403";"Alto Paraíso (RO)";"13693";"14084";"14532";"16504";"15993";"16510";"17169";"17569";"17444";"17742";"19459";"19841";"20210";"20569";"20916";"20999";"21428"
"1100452";"Buritis (RO)";"28132";"30521";"32774";"42686";"40120";"42717";"33879";"34693";"32899";"33397";"36555";"37207";"37838";"38450";"39044";"38937";"39654"
"1100502";"Novo Horizonte do Oeste (RO)";"12367";"12458";"12543";"12915";"12819";"12916";"9966";"9720";"10084";"9933";"10515";"10393";"10276";"10161";"10051";"8751";"8538"
"1100601";"Cacaulândia (RO)";"5355";"5398";"5411";"5464";"5450";"5464";"5707";"5736";"5764";"5791";"6268";"6318";"6367";"6414";"6460";"6190";"6230"
"1100700";"Campo Novo de Rondônia (RO)";"12633";"13500";"14446";"18606";"17529";"18619";"12790";"12915";"12758";"12847";"13939";"14081";"14220";"14354";"14484";"14009";"14139"
"1100809";"Candeias do Jamari (RO)";"13816";"14314";"14874";"17338";"16700";"17346";"17147";"17547";"20292";"20787";"22973";"23573";"24155";"24719";"25266";"25983";"26693"
